num_PAs,season,nitro_dist,focal_batter_id,focal_batter_name,focal_HitterSide,focal_Barrel_PA,focal_Pitch_PA,focal_BA,focal_OBP,focal_SLG,focal_delta_run_exp_PA,focal_Swing_pct,focal_Contact_pct,focal_SweetSpot_pct,focal_SwStr_pct,focal_Chase_pct,focal_GroundBall_pct,focal_FlyBall_pct,focal_LineDrive_pct,focal_PopUp_pct,focal_Attack_Angle_median,focal_Attack_Direction_median,focal_Swing_Path_Tilt_median,focal_Nitro_med_xy,focal_season_PA,focal_season_Barrel_PA,focal_season_Pitch_PA,focal_season_BA,focal_season_OBP,focal_season_SLG,focal_season_delta_run_exp_PA,focal_season_Swing_pct,focal_season_Contact_pct,focal_season_SweetSpot_pct,focal_season_SwStr_pct,focal_season_Chase_pct,focal_season_GroundBall_pct,focal_season_FlyBall_pct,focal_season_LineDrive_pct,focal_season_PopUp_pct,focal_season_Attack_Angle_median,focal_season_Attack_Direction_median,focal_season_Swing_Path_Tilt_median,focal_season_Nitro_med_xy,focal_season_nitro_x,focal_season_nitro_z,focal_nitro_x,focal_nitro_z,conditional_batter_id,conditional_batter_name,conditional_HitterSide,conditional_Barrel_PA,conditional_Pitch_PA,conditional_BA,conditional_OBP,conditional_SLG,conditional_delta_run_exp_PA,conditional_Swing_pct,conditional_Contact_pct,conditional_SweetSpot_pct,conditional_SwStr_pct,conditional_Chase_pct,conditional_GroundBall_pct,conditional_FlyBall_pct,conditional_LineDrive_pct,conditional_PopUp_pct,conditional_Attack_Angle_median,conditional_Attack_Direction_median,conditional_Swing_Path_Tilt_median,conditional_Nitro_med_xy,conditional_season_PA,conditional_season_Barrel_PA,conditional_season_Pitch_PA,conditional_season_BA,conditional_season_OBP,conditional_season_SLG,conditional_season_delta_run_exp_PA,conditional_season_Swing_pct,conditional_season_Contact_pct,conditional_season_Nitro_med_xy,conditional_season_SweetSpot_pct,conditional_season_SwStr_pct,conditional_season_Chase_pct,conditional_season_GroundBall_pct,conditional_season_FlyBall_pct,conditional_season_LineDrive_pct,conditional_season_PopUp_pct,conditional_season_Attack_Angle_median,conditional_season_Attack_Direction_median,conditional_season_Swing_Path_Tilt_median,conditional_season_nitro_x,conditional_season_nitro_z,conditional_nitro_x,conditional_nitro_z
32,2025,,455117,"Maldonado, Martín",R,0.0625,3.15625,0.16666666666666666,0.1935483870967742,0.26666666666666666,-0.07509375,0.46534653465346537,0.7021276595744681,0.30434782608695654,0.13861386138613863,0.23809523809523808,0.43478260869565216,0.21739130434782608,0.17391304347826086,0.17391304347826086,15.699847499736254,-7.57572709701113,29.738129171518526,[-0.045  2.675],161.0,0.055900621118012424,3.540372670807453,0.20408163265306123,0.24516129032258063,0.32653061224489793,-0.018180124223602483,0.45183887915936954,0.6162790697674418,0.3020833333333333,0.1733800350262697,0.31640625,0.4270833333333333,0.23958333333333334,0.19791666666666666,0.13541666666666666,14.106668386060443,-5.484878604097131,31.868797898080928,[0.05 2.49],0.05,2.49,-0.045000000000000005,2.675,642180,"Wade, Tyler",L,0.0,4.09375,0.16,0.3225806451612903,0.16,-0.060843749999999995,0.4122137404580153,0.8148148148148148,0.25,0.07633587786259542,0.21875,0.55,0.35,0.1,0.0,7.333716026531451,-1.6102267076046404,31.55044689675606,[nan nan],127.0,0.0,3.9133858267716537,0.205607476635514,0.3089430894308943,0.2523364485981308,-0.020062992125984253,0.4346076458752515,0.7361111111111112,[nan nan],0.3,0.11468812877263582,0.2644628099173554,0.55,0.2,0.2125,0.0375,6.168047544864735,-1.3756741296182562,31.957312635453157,,,,
56,2025,0.7907117047318828,456781,"Solano, Donovan",R,0.07142857142857142,3.5535714285714284,0.2777777777777778,0.30357142857142855,0.48148148148148145,0.06348214285714285,0.542713567839196,0.7222222222222222,0.4634146341463415,0.1507537688442211,0.4157303370786517,0.34146341463414637,0.2682926829268293,0.3170731707317073,0.07317073170731707,9.450503700876546,-3.595201244604312,34.532400400348216,[-0.275  2.025],179.0,0.027932960893854747,3.9273743016759775,0.2469879518072289,0.2905027932960894,0.3373493975903614,-0.008821229050279333,0.5170454545454546,0.7362637362637363,0.359375,0.13636363636363635,0.36283185840707965,0.4609375,0.203125,0.265625,0.0703125,6.917564079638353,1.7470133718967897,34.159089423397575,[-0.38  2.09],-0.38,2.09,-0.275,2.025,641598,"Garver, Mitch",R,0.05357142857142857,4.160714285714286,0.24444444444444444,0.39285714285714285,0.5111111111111111,0.06391071428571428,0.36909871244635195,0.7325581395348837,0.37037037037037035,0.09871244635193133,0.19827586206896552,0.2962962962962963,0.37037037037037035,0.25925925925925924,0.07407407407407407,15.450516748132731,-1.6841842479170903,30.242734003482656,[0.42971178 2.68658284],290.0,0.04827586206896552,4.0344827586206895,0.20866141732283464,0.296551724137931,0.3425196850393701,-0.013386206896551725,0.40683760683760684,0.6932773109243697,[0.135 2.69 ],0.3220338983050847,0.12478632478632479,0.20640569395017794,0.3559322033898305,0.3163841807909605,0.22033898305084745,0.10734463276836158,15.48184367588751,-4.278797849398133,29.429043804843936,0.135,2.69,0.4297117772590434,2.6865828428688987
35,2025,0.6700746227100383,456781,"Solano, Donovan",R,0.0,3.8285714285714287,0.125,0.14285714285714285,0.15625,-0.11051428571428572,0.5298507462686567,0.7183098591549296,0.2857142857142857,0.14925373134328357,0.4307692307692308,0.4642857142857143,0.25,0.21428571428571427,0.07142857142857142,3.983074488732865,5.208311287663318,34.62252603557862,[nan nan],179.0,0.027932960893854747,3.9273743016759775,0.2469879518072289,0.2905027932960894,0.3373493975903614,-0.008821229050279333,0.5170454545454546,0.7362637362637363,0.359375,0.13636363636363635,0.36283185840707965,0.4609375,0.203125,0.265625,0.0703125,6.917564079638353,1.7470133718967897,34.159089423397575,[-0.38  2.09],-0.38,2.09,,,668227,"Arozarena, Randy",R,0.08571428571428572,3.9714285714285715,0.4838709677419355,0.5428571428571428,0.8064516129032258,0.22431428571428572,0.45323741007194246,0.7301587301587301,0.5,0.1223021582733813,0.31666666666666665,0.4166666666666667,0.2916666666666667,0.2916666666666667,0.0,11.184354105406012,0.6937332680321004,23.984127601371718,[0.11907238 2.51388702],709.0,0.0691114245416079,4.052186177715091,0.23817292006525284,0.3342736248236953,0.4257748776508972,0.02472073342736248,0.43873654980909405,0.7025316455696202,[0.15 2.5 ],0.33489461358313816,0.13051023950017354,0.25262421273617913,0.4262295081967213,0.2693208430913349,0.21311475409836064,0.09133489461358314,8.8575951586081,3.044690888200135,25.108560752566508,0.15,2.5,0.1190723795969161,2.513887021484249
145,2025,0.18560711193270582,457705,"McCutchen, Andrew",R,0.05517241379310345,4.082758620689655,0.25196850393700787,0.33793103448275863,0.41732283464566927,0.019096551724137933,0.47635135135135137,0.6773049645390071,0.2857142857142857,0.15371621621621623,0.2246376811594203,0.4175824175824176,0.24175824175824176,0.1978021978021978,0.14285714285714285,15.984857966134152,-1.2959283577567682,34.60345425903971,[0.21  2.485],551.0,0.0544464609800363,4.143375680580762,0.2389937106918239,0.3333333333333333,0.3668763102725367,-0.010860254083484573,0.45168342807170964,0.7376573088092934,0.35082872928176795,0.1184958460865763,0.20708446866485014,0.42265193370165743,0.27071823204419887,0.2265193370165746,0.08011049723756906,15.048863166452186,-0.011064665938313652,34.26333567291706,[0.045 2.54 ],0.045,2.54,0.21000000000000002,2.485,665833,"Cruz, Oneil",L,0.1103448275862069,4.386206896551724,0.168,0.27586206896551724,0.344,-0.03256551724137931,0.4166666666666667,0.6226415094339622,0.3466666666666667,0.15723270440251572,0.26988636363636365,0.5333333333333333,0.16,0.25333333333333335,0.05333333333333334,9.5886396350048,-7.549485031529043,34.32086280918415,[0.02221333 2.62348384],544.0,0.09926470588235294,4.130514705882353,0.19957537154989385,0.2977941176470588,0.37791932059447986,-0.01258455882352941,0.4128888888888889,0.6598493003229279,[-0.12   2.625],0.31788079470198677,0.14044444444444446,0.28190630048465265,0.48344370860927155,0.25165562913907286,0.2185430463576159,0.046357615894039736,8.846829148702243,-5.766610260649148,33.42866210776755,-0.12,2.625,0.022213332813678197,2.6234838382025822
88,2025,0.23409399821439225,457705,"McCutchen, Andrew",R,0.056818181818181816,4.0,0.2857142857142857,0.375,0.4935064935064935,0.020988636363636362,0.44886363636363635,0.810126582278481,0.4918032786885246,0.08522727272727272,0.1910828025477707,0.39344262295081966,0.2459016393442623,0.32786885245901637,0.03278688524590164,13.61707934742902,0.7017870070196975,34.05872471972169,[-0.14  2.83],551.0,0.0544464609800363,4.143375680580762,0.2389937106918239,0.3333333333333333,0.3668763102725367,-0.010860254083484573,0.45168342807170964,0.7376573088092934,0.35082872928176795,0.1184958460865763,0.20708446866485014,0.42265193370165743,0.27071823204419887,0.2265193370165746,0.08011049723756906,15.048863166452186,-0.011064665938313652,34.26333567291706,[0.045 2.54 ],0.045,2.54,-0.14,2.83,502054,"Pham, Tommy",R,0.07954545454545454,3.534090909090909,0.2727272727272727,0.36363636363636365,0.45454545454545453,0.019250000000000003,0.4180064308681672,0.8153846153846154,0.4,0.07717041800643087,0.1678832116788321,0.4,0.24615384615384617,0.2923076923076923,0.06153846153846154,7.127890190152623,1.1508787522397892,27.84047943568054,[-0.06  2.45],449.0,0.044543429844097995,3.8151447661469935,0.24489795918367346,0.32962138084632514,0.36989795918367346,0.005164810690423163,0.4250728862973761,0.7709190672153635,[-0.035  2.32 ],0.33003300330033003,0.09737609329446065,0.19866666666666666,0.5115511551155115,0.19801980198019803,0.23102310231023102,0.0594059405940594,7.547130395520213,1.4859415035658874,27.3300986686976,-0.034999999999999996,2.3200000000000003,-0.06,2.45
86,2025,0.22847319317591722,457705,"McCutchen, Andrew",R,0.05813953488372093,4.186046511627907,0.19480519480519481,0.27906976744186046,0.2987012987012987,-0.04273255813953488,0.46944444444444444,0.757396449704142,0.35185185185185186,0.11388888888888889,0.1927710843373494,0.3888888888888889,0.37037037037037035,0.2037037037037037,0.037037037037037035,12.416841367152475,1.746015500509796,33.96196954532065,[0.4  2.37],551.0,0.0544464609800363,4.143375680580762,0.2389937106918239,0.3333333333333333,0.3668763102725367,-0.010860254083484573,0.45168342807170964,0.7376573088092934,0.35082872928176795,0.1184958460865763,0.20708446866485014,0.42265193370165743,0.27071823204419887,0.2265193370165746,0.08011049723756906,15.048863166452186,-0.011064665938313652,34.26333567291706,[0.045 2.54 ],0.045,2.54,0.4,2.37,687462,"Horwitz, Spencer",L,0.03488372093023256,4.116279069767442,0.25,0.3372093023255814,0.3815789473684211,-0.0012790697674418619,0.4463276836158192,0.8227848101265823,0.3728813559322034,0.07909604519774012,0.20930232558139536,0.3559322033898305,0.23728813559322035,0.2542372881355932,0.15254237288135594,10.033417848341251,-1.0561584186591215,34.85580551678479,[-0.03777759  2.13087752],411.0,0.058394160583941604,4.133819951338199,0.27197802197802196,0.35279805352798055,0.4340659340659341,0.02788321167883212,0.46262507357268984,0.821882951653944,[0.135 2.33 ],0.4006849315068493,0.0824014125956445,0.23267326732673269,0.3835616438356164,0.2773972602739726,0.2602739726027397,0.07876712328767123,8.153769010623659,-0.3988627023278845,35.72736153674168,0.135,2.33,-0.0377775943811435,2.130877520410727
77,2025,0.10198039027185571,457705,"McCutchen, Andrew",R,0.09090909090909091,4.064935064935065,0.2,0.3157894736842105,0.3076923076923077,-0.028558441558441557,0.44089456869009586,0.782608695652174,0.2727272727272727,0.09584664536741214,0.20833333333333334,0.5272727272727272,0.2545454545454545,0.12727272727272726,0.09090909090909091,16.22323614526614,-0.9264330168058226,34.60718995691689,[-0.1   2.45],551.0,0.0544464609800363,4.143375680580762,0.2389937106918239,0.3333333333333333,0.3668763102725367,-0.010860254083484573,0.45168342807170964,0.7376573088092934,0.35082872928176795,0.1184958460865763,0.20708446866485014,0.42265193370165743,0.27071823204419887,0.2265193370165746,0.08011049723756906,15.048863166452186,-0.011064665938313652,34.26333567291706,[0.045 2.54 ],0.045,2.54,-0.1,2.45,668804,"Reynolds, Bryan",L,0.06493506493506493,3.935064935064935,0.25,0.3246753246753247,0.35294117647058826,-0.039896103896103895,0.429042904290429,0.7461538461538462,0.37037037037037035,0.10891089108910891,0.20125786163522014,0.5,0.25925925925925924,0.24074074074074073,0.0,12.52662201551566,6.072784112742731,38.718662899167995,[0.13710852 2.84280001],487.0,0.055441478439425054,4.0657084188911705,0.24145785876993167,0.31211498973305957,0.3895216400911162,-0.009632443531827515,0.4950682852807284,0.7057471264367816,[-0.055  2.52 ],0.3980815347721823,0.1456752655538695,0.25925925925925924,0.4724220623501199,0.23501199040767387,0.2829736211031175,0.009592326139088728,12.303252923183576,4.330487876051175,38.12383911320139,-0.055,2.52,0.1371085177895542,2.842800012805072
51,2025,0.13647344063956182,457705,"McCutchen, Andrew",R,0.0196078431372549,4.078431372549019,0.21428571428571427,0.35294117647058826,0.2857142857142857,-0.021215686274509805,0.3894230769230769,0.7530864197530864,0.4838709677419355,0.09615384615384616,0.1553398058252427,0.3225806451612903,0.1935483870967742,0.3548387096774194,0.12903225806451613,12.813870307714348,3.939201721644468,34.510357670592185,[0.29 2.06],551.0,0.0544464609800363,4.143375680580762,0.2389937106918239,0.3333333333333333,0.3668763102725367,-0.010860254083484573,0.45168342807170964,0.7376573088092934,0.35082872928176795,0.1184958460865763,0.20708446866485014,0.42265193370165743,0.27071823204419887,0.2265193370165746,0.08011049723756906,15.048863166452186,-0.011064665938313652,34.26333567291706,[0.045 2.54 ],0.045,2.54,0.29,2.06,693304,"Gonzales, Nick",R,0.0392156862745098,4.03921568627451,0.24489795918367346,0.27450980392156865,0.30612244897959184,-0.04294117647058823,0.5533980582524272,0.7894736842105263,0.4146341463414634,0.11650485436893204,0.29411764705882354,0.36585365853658536,0.24390243902439024,0.3170731707317073,0.07317073170731707,9.346568138429836,-0.7991288956087905,34.13579933204997,[0.37404473 1.96868827],408.0,0.03431372549019608,3.4338235294117645,0.25984251968503935,0.29901960784313725,0.36220472440944884,-0.012985294117647057,0.5716312056737589,0.7531017369727047,[0.18 2.52],0.34294871794871795,0.14113475177304965,0.31587057010785824,0.46474358974358976,0.22756410256410256,0.2532051282051282,0.05448717948717949,8.475589890628047,1.0151169086731913,33.27469532097372,0.18,2.52,0.37404473491227797,1.968688268931553
47,2025,0.10198039027185571,457705,"McCutchen, Andrew",R,0.0425531914893617,4.446808510638298,0.275,0.3617021276595745,0.375,-0.023021276595744676,0.4258373205741627,0.7303370786516854,0.3125,0.11483253588516747,0.2459016393442623,0.4375,0.375,0.15625,0.03125,18.97753830625159,-5.904423466979811,33.6926548445121,[0.81  2.925],551.0,0.0544464609800363,4.143375680580762,0.2389937106918239,0.3333333333333333,0.3668763102725367,-0.010860254083484573,0.45168342807170964,0.7376573088092934,0.35082872928176795,0.1184958460865763,0.20708446866485014,0.42265193370165743,0.27071823204419887,0.2265193370165746,0.08011049723756906,15.048863166452186,-0.011064665938313652,34.26333567291706,[0.045 2.54 ],0.045,2.54,0.81,2.925,668804,"Reynolds, Bryan",R,0.10638297872340426,3.702127659574468,0.2619047619047619,0.3191489361702128,0.38095238095238093,-0.00021276595744681341,0.5057471264367817,0.6931818181818182,0.35714285714285715,0.15517241379310345,0.29411764705882354,0.5714285714285714,0.25,0.17857142857142858,0.0,11.479808635628242,6.306674948400064,36.445971085820695,[-0.09924361  2.42888072],167.0,0.08982035928143713,3.92814371257485,0.25675675675675674,0.33532934131736525,0.4391891891891892,0.02911377245508982,0.4950682852807284,0.7057471264367816,[-0.055  2.52 ],0.3980815347721823,0.1456752655538695,0.25925925925925924,0.4724220623501199,0.23501199040767387,0.2829736211031175,0.009592326139088728,12.303252923183576,4.330487876051175,38.12383911320139,-0.055,2.52,-0.0992436098609633,2.428880722153619
41,2025,0.3080584360149873,457759,"Turner, Justin",R,0.024390243902439025,3.5365853658536586,0.32432432432432434,0.34146341463414637,0.4594594594594595,-0.006560975609756101,0.4827586206896552,0.9,0.2857142857142857,0.04827586206896552,0.2,0.34285714285714286,0.3142857142857143,0.22857142857142856,0.11428571428571428,13.242411897340416,-1.2495251881682308,33.596331456468704,[0.03 2.86],191.0,0.02617801047120419,4.193717277486911,0.21893491124260356,0.2879581151832461,0.3136094674556213,-0.043785340314136126,0.4756554307116105,0.8267716535433071,0.3897058823529412,0.08239700374531835,0.2757731958762887,0.3897058823529412,0.2867647058823529,0.23529411764705882,0.08823529411764706,7.037572091046837,5.071492474572623,34.900002283237846,[-0.09  2.65],-0.09,2.65,0.03,2.86,663538,"Hoerner, Nico",R,0.04878048780487805,3.024390243902439,0.3,0.3170731707317073,0.4,0.023975609756097565,0.5080645161290323,0.8571428571428571,0.2894736842105263,0.07258064516129033,0.3269230769230769,0.3157894736842105,0.39473684210526316,0.15789473684210525,0.13157894736842105,6.120307796235975,-3.282253645392525,33.0536990071176,[-0.02731951  2.18115173],649.0,0.020030816640986132,3.5454545454545454,0.29716193656093487,0.34514637904468415,0.39398998330550916,0.023466872110939906,0.48679081853616285,0.8879003558718861,[-0.27  2.4 ],0.36823104693140796,0.05456907752273712,0.32541133455210236,0.44945848375451264,0.23826714801444043,0.2545126353790614,0.05776173285198556,5.568442358107975,-1.327897944863719,33.21241880763195,-0.27,2.4,-0.027319510255329832,2.181151730692395
